SampleID,LAP,MMT,CMC,CNF,SLK,AGR,ALG,CAR,CHS,PEC,PUL,STA,GEL,GLU,ZIN,GLY,FFA,LAC,LEV,PHA,SRB,SUA,XYL,Detachability,FlatnessUni,Feasibility,Detachability_STD,FlatnessUni_STD,Feasibility_STD,Weight
aTS-0117,0.0,0.0,0.5033,0.0,0.0,0.0,0.02,0.015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4467,0.015,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.6389749999999998
aTS-0118,0.0,0.0,0.0,0.0,0.034,0.0,0.3651,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.334,0.0,0.0,0.0,0.0,0.2243,0.0426,1.0,0.0,0.0,0.0,0.0,0.0,1.0
aTS-0119,0.0,0.0,0.0,0.0,0.2072,0.239,0.0,0.0,0.0,0.0,0.2175,0.0,0.0,0.0,0.0834,0.2529,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.6389749999999998
aTS-011A,0.0,0.2426,0.3483,0.0,0.0,0.3243,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0479,0.0,0.0,0.0,0.0369,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.6389749999999998
aTS-011B,0.0,0.1558,0.0,0.0,0.264,0.0,0.0,0.2196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.332,0.0287,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
aTS-011C,0.0,0.0,0.0,0.0,0.517,0.0,0.3481,0.0335,0.0,0.0,0.0651,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0363,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
aTS-011D,0.0,0.0,0.0,0.0,0.0637,0.0394,0.0,0.3342,0.0,0.0,0.227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3357,1.0,1.0,1.0,0.0,0.0,0.0,1.6389749999999998
aTS-011E,0.0,0.394,0.015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1967,0.0,0.0,0.0,0.038,0.0,0.3563,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
aTS-0201,0.0,0.0,0.0,0.0,0.0,0.0,0.015,0.0,0.0,0.0,0.4571,0.0,0.0,0.0,0.0,0.3505,0.0459,0.1316,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
aTS-0202,0.0,0.149,0.0,0.0,0.0,0.0,0.015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2259,0.3484,0.0,0.0,0.0,0.0,0.0,0.2617,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
aTS-0203,0.0,0.0,0.0,0.0,0.0,0.0,0.015,0.2715,0.0,0.0,0.1024,0.0,0.0,0.0,0.0,0.3524,0.0,0.0,0.2587,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.6389749999999998
aTS-0204,0.0,0.0,0.0,0.0,0.0,0.3538,0.015,0.0,0.1218,0.0,0.0,0.0,0.0,0.0,0.0,0.3429,0.0,0.1666,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
aTS-0205,0.0,0.0,0.0,0.0,0.0,0.0754,0.015,0.2754,0.3076,0.0,0.0,0.0,0.0,0.0,0.0,0.3266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
aTS-0206,0.0,0.0,0.0,0.0,0.0,0.0,0.015,0.0,0.0,0.0,0.1774,0.0,0.0,0.0,0.0,0.3493,0.0,0.3366,0.1217,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
aTS-0207,0.0,0.2076,0.0,0.0,0.0,0.0,0.015,0.0,0.1919,0.0,0.0,0.0,0.0,0.0,0.0,0.3494,0.0,0.236,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
aTS-0208,0.0,0.0,0.0,0.0,0.0,0.0,0.015,0.0,0.2616,0.0,0.2213,0.0,0.0,0.0,0.0,0.3681,0.0,0.0,0.134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
aTS-0209,0.0,0.0,0.0,0.0,0.0,0.0,0.015,0.0503,0.0,0.0,0.0,0.0,0.0,0.244,0.3583,0.3324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
aTS-020A,0.0,0.0,0.0,0.0,0.0,0.0,0.015,0.2436,0.0,0.0,0.0,0.0,0.0,0.1431,0.0,0.3413,0.0,0.257,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.6389749999999998
aTS-020B,0.0,0.038,0.1374,0.0,0.0,0.0,0.0,0.1411,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3735,0.31,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.6389749999999998
aTS-020C,0.0,0.015,0.0,0.0,0.0,0.0,0.3742,0.0,0.0,0.0,0.2451,0.0,0.0,0.0327,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.333,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.6389749999999998
aTS-020D,0.0,0.0,0.2316,0.0988,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3276,0.0,0.3084,0.0,0.0,0.0,0.0,0.0,0.0336,1.0,1.0,1.0,0.0,0.0,0.0,1.6389749999999998
aTS-020E,0.0,0.0,0.0,0.3128,0.0,0.0,0.0,0.0648,0.2776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3114,0.0,0.0,0.0,0.0,0.0333,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
aTS-020F,0.0,0.0,0.015,0.3486,0.0,0.0,0.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0342,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1922,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.6389749999999998
aTS-0210,0.0768,0.0,0.0,0.0425,0.0,0.0,0.0,0.0,0.0,0.0,0.3325,0.0,0.0,0.0,0.0,0.0,0.3081,0.0,0.0,0.0,0.0,0.2401,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
aTS-0211,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2438,0.0,0.3674,0.0,0.0,0.0333,0.0,0.0,0.0,0.1187,0.2367,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.6389749999999998
aTS-0212,0.0,0.0,0.2145,0.0,0.0,0.0,0.2407,0.0,0.0,0.0,0.0,0.0,0.0,0.033,0.0,0.0,0.0,0.2393,0.0,0.0,0.0,0.2726,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.6389749999999998
aTS-0213,0.0504,0.0,0.0,0.0,0.0,0.0,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.034,0.3713,0.0,0.0,0.0,0.0,0.0,0.0,0.3243,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
aTS-0214,0.0,0.0,0.0,0.015,0.0,0.0,0.0,0.1521,0.0,0.0,0.0,0.0,0.0,0.0,0.1582,0.0,0.3155,0.0,0.0,0.0,0.0,0.3592,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
