SampleID,DataSource,BatchNum,LAP,MMT,CMC,CNF,SLK,AGR,ALG,CAR,CHS,PEC,PUL,STA,GEL,GLU,ZIN,GLY,FFA,LAC,LEV,PHA,SRB,SUA,XYL,TensileStress,TensileStress_STD,TensileStrain,TensileStrain_STD,TensileModulusLog10,TensileModulusLog10_STD,TensileToughnessMean100n90,TensileToughnessMean100n90_STD,TensileThickness,TensileThickness_STD,TransVis,TransVis_STD,TransIR,TransIR_STD,TransUV,TransUV_STD
aTS-0101,8396928,1,0.0,0.0,0.5021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4381,0.0,0.0,0.0297,0.0,0.015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.35,15.229618073565296,1.3133333333333332,0.6737127643802578,3.6691743651001794,0.0316702443176711,0.3568680417435517,0.3049587988521398,43.0,4.320493798938574,79.56666666666666,0.659966329107447,80.46666666666667,0.5436502143433364,63.03333333333333,2.1139746660943897
aTS-0103,8396928,1,0.0,0.0,0.0,0.015,0.0,0.0,0.0,0.1026,0.0,0.0,0.7287,0.0,0.0,0.0,0.1387,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.9,1.091146186356347,0.7766666666666667,0.2559079695689231,3.479449444973292,0.0558927899074116,0.0285444792023723,0.0082372050654761,71.33333333333333,14.1970262926979,61.96666666666667,1.18415464455544,57.166666666666664,0.5906681715556449,30.266666666666666,3.715134213217903
aTS-0104,8396928,1,0.0,0.0225,0.0,0.0,0.0,0.0,0.015,0.0,0.3728,0.0,0.0,0.0,0.2548,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.855,3.5050000000000003,63.45,1.7800000000000011,1.5853285566667392,0.0010629338159851,5.510057321169169,1.1907162853220798,60.0,6.000000000000002,80.5,0.0816496580927679,80.96666666666667,0.3681787005729081,59.9,1.430617582258329
aTS-0105,8396928,1,0.0,0.1189,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2496,0.0,0.0,0.0,0.0,0.0494,0.0,0.289,0.0,0.0,0.0,0.0,0.0,1.3133333333333332,1.0708667309966984,0.8500000000000001,0.3021037349432586,2.3143047207750143,0.3492833604458111,0.0137372563681971,0.0156093137730999,67.0,4.966554808583778,80.4,0.9092121131323908,81.3,0.8640987597877149,60.166666666666664,0.4027681991198181
aTS-0106,8396928,1,0.0254,0.0274,0.0,0.0,0.0,0.0,0.0,0.2355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.786666666666666,0.4876018412142797,2.72,0.7268195557816718,2.599359873879326,0.0967164673224903,0.0673977036222377,0.0306974184597858,30.333333333333332,5.18544972870135,79.63333333333334,0.1699673171197563,81.56666666666666,0.3771236166328257,57.23333333333333,1.575506973079528
aTS-0108,8396928,1,0.0,0.0,0.2883,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2579,0.0,0.0368,0.0514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.17,7.734045944178679,0.91,0.1845715759987617,3.5847184589573615,0.0124555929729388,0.137139070686323,0.0639593326226129,32.66666666666667,0.942809041582064,77.7,0.4242640687119244,77.39999999999999,0.163299316185546,50.56666666666666,0.1247219128924664
aTS-0109,8396928,1,0.034,0.0,0.0,0.5432,0.0,0.0,0.0,0.0,0.0,0.0,0.3928,0.0,0.0,0.0,0.0,0.0,0.015,0.0,0.0,0.0,0.0,0.0,0.0,31.52,8.159154367947698,0.6066666666666666,0.1517307556898805,3.863815695068331,0.0186223093973354,0.1009894857330123,0.041726408622161,58.33333333333334,8.498365855987977,56.93333333333334,3.7106453466868654,56.76666666666667,4.5973422273695865,41.366666666666674,1.3719410418171136
aTS-010A,8396928,1,0.0,0.2506,0.0,0.3219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2844,0.0,0.0,0.0,0.0,0.0,0.071,0.0,0.0,0.0,0.0,23.953333333333333,9.85215486863435,0.62,0.1720465053408525,3.9163068437106783,0.0520720896998819,0.0555407329812206,0.0422350167214723,59.33333333333333,2.357022603955157,54.56666666666666,0.7760297817881872,52.73333333333333,0.6649979114420008,26.0,0.6976149845485461
aTS-010B,8396928,1,0.0,0.0,0.0,0.0,0.0,0.4603,0.0,0.0,0.0,0.0,0.0,0.0,0.3999,0.0,0.0,0.0,0.0349,0.0,0.0899,0.0,0.0,0.0,0.0,25.659999999999997,4.866648401792209,1.39,0.2922327839240491,3.414422232019641,0.0167639033168071,0.1839354153500397,0.0695317519615348,69.0,2.1602468994692843,41.5,0.4546060565661959,40.76666666666667,1.7613126418163885,19.0,1.4966629547095749
aTS-010C,8396928,1,0.0,0.0791,0.0,0.0,0.0,0.0,0.0,0.0,0.4402,0.0,0.0343,0.0,0.0,0.0,0.0,0.0,0.0397,0.0,0.0,0.0,0.0,0.0,0.0,28.096666666666664,6.942105028175692,2.02,0.6576219785459324,3.4293342314291686,0.0845523651452528,0.3480514945889861,0.2361231669982502,58.666666666666664,0.942809041582061,77.06666666666666,1.5923427883328272,77.73333333333333,1.087300428686673,50.46666666666667,1.681930108205716
