SampleID,LAP,MMT,CMC,CNF,SLK,AGR,ALG,CAR,CHS,PEC,PUL,STA,GEL,GLU,ZIN,GLY,FFA,LAC,LEV,PHA,SRB,SUA,XYL,Feasibility,TransVis,TensileStrength,TensileSED,FireRR
aTH-0130,0.0,0.0,0.0,0.2278,0.2344,0.1957,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1406,0.0,0.0,0.0,0.2014,0.0,0.0,0.0,0.0,True,,,,
aTH-0132,0.0,0.0,0.0,0.328,0.0,0.0,0.0,0.2981,0.0,0.0,0.1445,0.0,0.0,0.0,0.2295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,,,
aTH-0133,0.0379,0.0,0.0,0.4196,0.0,0.0673,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015,0.0,0.0,0.0,0.0,0.4603,True,68.5,10.353,0.152,
aTH-0134,0.0493,0.0,0.0,0.0,0.0,0.0,0.0,0.555,0.0,0.0,0.0493,0.0,0.0,0.0,0.0,0.3464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,,
aTH-0135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4431,0.0,0.0,0.0815,0.0,0.0,0.0,0.2704,0.205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,,,
aTH-0136,0.1381,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1941,0.0,0.0,0.0,0.0,0.0,0.1941,0.2301,0.2436,0.0,0.0,0.0,0.0,False,,,,
aTH-0137,0.0,0.0,0.0,0.2665,0.0,0.2468,0.1435,0.0,0.0,0.0,0.2315,0.0,0.0,0.0,0.1117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,,
aTH-0138,0.5125,0.0,0.0,0.0,0.0,0.0,0.0,0.0509,0.0,0.0,0.4365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,,,
aTH-0139,0.0,0.0,0.0,0.2582,0.1564,0.3367,0.2239,0.0,0.0248,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,,,
aTH-0140,0.0,0.0,0.0,0.0,0.0,0.0255,0.0,0.3009,0.3928,0.0,0.0,0.0,0.0,0.0,0.0,0.2808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,,
aTH-0141,0.0,0.0,0.0,0.0,0.2072,0.239,0.0,0.0,0.0,0.0,0.2175,0.0,0.0,0.0,0.0834,0.2529,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,56.13,2.593,0.238,
aTH-0142,0.0,0.0,0.0,0.085,0.0,0.0,0.0,0.2927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3024,0.0,0.0,0.0,0.0,0.2429,0.077,False,,,,
aTH-0143,0.0,0.0,0.0,0.0,0.0,0.2073,0.0,0.0,0.0,0.0,0.0,0.0,0.1457,0.132,0.0,0.0,0.0,0.0,0.2615,0.2535,0.0,0.0,0.0,False,,,,
aTH-0144,0.0,0.1713,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.132,0.0,0.0,0.0,0.0,0.2576,0.1935,0.0,0.0,0.2456,0.0,0.0,0.0,False,,,,
aTH-0145,0.0,0.0,0.0249,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1469,0.1586,0.0,0.2074,0.4622,0.0,0.0,0.0,0.0,0.0,0.0,False,,,,
aTH-0146,0.0,0.2456,0.0,0.3207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.049,0.232,0.0,0.0,0.0,0.0,0.0,0.1527,0.0,True,,,,
aTH-0147,0.4066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.263,0.0492,0.0,0.0,0.0,0.0,0.0,0.0,0.2812,False,,,,
aTH-0148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1852,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3278,0.0,0.0,0.0,0.1476,0.3394,False,,,,
aTH-0149,0.0,0.2318,0.0,0.0,0.0,0.0,0.0,0.2932,0.0,0.0,0.0,0.0,0.0,0.0,0.1936,0.0,0.2814,0.0,0.0,0.0,0.0,0.0,0.0,False,,,,
aTH-0150,0.068,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6641,0.0,0.0,0.0,0.1428,0.0,0.0,0.0,0.0,0.0,0.0219,0.0,0.0,0.1033,0.0,True,79.17,31.947,2.411,0.194
aTH-0151,0.0186,0.0,0.0,0.3314,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3614,0.0,0.2604,0.0,0.0,0.0283,0.0,0.0,0.0,0.0,0.0,False,,,,
aTH-0152,0.3171,0.0,0.0,0.3839,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2466,0.0,0.0,0.0,0.0,0.0,0.0,0.0525,False,,,,
aTH-0153,0.0,0.0,0.015,0.0,0.0,0.0,0.0,0.0,0.2851,0.0,0.0,0.0,0.4027,0.0,0.0,0.0689,0.0,0.0,0.0,0.0,0.0,0.0,0.2284,True,80.53,1.07,0.473,0.0
aTH-0154,0.0,0.1118,0.0,0.0,0.0,0.0,0.0,0.2528,0.0,0.0,0.0,0.0,0.261,0.0,0.0,0.0,0.11,0.0,0.2645,0.0,0.0,0.0,0.0,False,,,,
aTH-0155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1412,0.0,0.0601,0.0,0.0,0.0,0.7194,0.0,0.0,0.0793,0.0,0.0,0.0,0.0,0.0,False,,,,
aTH-0156,0.4613,0.0854,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1439,0.1339,0.0,0.0,0.0,0.0,0.0,0.1754,0.0,False,,,,
aTH-0157,0.0,0.0,0.0,0.0451,0.0,0.0,0.0,0.3135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.128,0.0,0.3469,0.0,0.0,0.0,0.0,0.1665,False,,,,
aTH-0158,0.3367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0498,0.0,0.3486,0.0,0.0,0.0,0.0,0.0,0.2649,0.0,False,,,,
aTH-0159,0.0,0.2088,0.3382,0.2238,0.0983,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.131,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,76.9,114.66,1.607,0.013
aTH-0160,0.0,0.0,0.0,0.1618,0.0,0.0,0.0,0.0267,0.0,0.0,0.0,0.0,0.0,0.0,0.3513,0.0,0.3333,0.0,0.1269,0.0,0.0,0.0,0.0,False,,,,
aTH-0201,0.2811,0.0,0.0,0.2792,0.0,0.0,0.0,0.0,0.0,0.0,0.101,0.0,0.0,0.0,0.0,0.3386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,,
aTH-0202,0.0,0.0,0.0,0.0,0.221,0.1778,0.0,0.1872,0.0,0.227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.187,0.0,0.0,0.0,False,,,,
aTH-0203,0.0,0.3781,0.0,0.0,0.0,0.0,0.0,0.0422,0.0216,0.4085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1496,False,,,,
aTH-0204,0.0,0.0,0.0,0.4002,0.1916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1206,0.079,0.2086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,,,
