acc_Detachability,acc_Detachability_test,acc_Feasibility,acc_Feasibility_test,acc_FlatnessUni,acc_FlatnessUni_test,cm_Detachability_fn,cm_Detachability_fnR,cm_Detachability_fnR_test,cm_Detachability_fn_test,cm_Detachability_fp,cm_Detachability_fpR,cm_Detachability_fpR_test,cm_Detachability_fp_test,cm_Detachability_tn,cm_Detachability_tnR,cm_Detachability_tnR_test,cm_Detachability_tn_test,cm_Detachability_tp,cm_Detachability_tpR,cm_Detachability_tpR_test,cm_Detachability_tp_test,cm_Feasibility_fn,cm_Feasibility_fnR,cm_Feasibility_fnR_test,cm_Feasibility_fn_test,cm_Feasibility_fp,cm_Feasibility_fpR,cm_Feasibility_fpR_test,cm_Feasibility_fp_test,cm_Feasibility_tn,cm_Feasibility_tnR,cm_Feasibility_tnR_test,cm_Feasibility_tn_test,cm_Feasibility_tp,cm_Feasibility_tpR,cm_Feasibility_tpR_test,cm_Feasibility_tp_test,cm_FlatnessUni_fn,cm_FlatnessUni_fnR,cm_FlatnessUni_fnR_test,cm_FlatnessUni_fn_test,cm_FlatnessUni_fp,cm_FlatnessUni_fpR,cm_FlatnessUni_fpR_test,cm_FlatnessUni_fp_test,cm_FlatnessUni_tn,cm_FlatnessUni_tnR,cm_FlatnessUni_tnR_test,cm_FlatnessUni_tn_test,cm_FlatnessUni_tp,cm_FlatnessUni_tpR,cm_FlatnessUni_tpR_test,cm_FlatnessUni_tp_test,epoch,loss_fire,loss_grade,loss_optical,loss_tensile,mae_FireRR,mae_TensileModulusLog10,mae_TensileSED,mae_TensileStrain,mae_TensileStrength,mae_TransIR,mae_TransUV,mae_TransVis,mre_FireRR,mre_TensileModulusLog10,mre_TensileSED,mre_TensileStrain,mre_TensileStrength,mre_TransIR,mre_TransUV,mre_TransVis,mse_FireRR,mse_TensileModulusLog10,mse_TensileSED,mse_TensileStrain,mse_TensileStrength,mse_TransIR,mse_TransUV,mse_TransVis,r2_FireRR,r2_TensileModulusLog10,r2_TensileSED,r2_TensileStrain,r2_TensileStrength,r2_TransIR,r2_TransUV,r2_TransVis,step
0.9471571906354515,0.7944444444444444,0.9468227424749164,0.7388888888888889,0.9093645484949833,0.6222222222222222,57,0.029037187977585328,0.14782608695652175,17,101,0.09834469328140215,0.3076923076923077,20,926,0.9016553067185978,0.6923076923076923,45,1906,0.9709628120224146,0.8521739130434782,98,113,0.11995753715498939,0.6774193548387096,21,46,0.0224609375,0.174496644295302,26,2002,0.9775390625,0.825503355704698,123,829,0.8800424628450106,0.3225806451612903,10,210,0.1693548387096774,0.639344262295082,39,61,0.03485714285714286,0.24369747899159663,29,1689,0.9651428571428572,0.7563025210084033,90,1030,0.8306451612903226,0.36065573770491804,22,0,0.07150519051760705,0.5514712609082064,0.02211985960169587,0.4218465374942584,0.097055686137773,1.4445542777968425,2.9524138522189114,22.755957641697204,45.623477918033274,7.1903187376210385,8.462313155590648,8.4803646182208,13385672440954.371,0.4900186703022985,12.3219492477862,14.041978567497283,2.7160259497193544,0.14754133786890306,392539927345354.1,0.15760603425039255,0.016501268116317917,3.176118849912504,30.92553994653431,1959.9455952966275,3974.556843385039,83.34662637841839,122.71134418151597,100.90230456840511,0.8431713294658051,-5.0451678088434395,-2.112529010539529,-1.285299169499417,-2.2489362648957627,0.3513949858216432,0.38510222758206647,0.29365556653131697,5000
0.9612040133779264,0.7888888888888889,0.9595317725752508,0.7944444444444444,0.931438127090301,0.6222222222222222,38,0.01935812531839022,0.1565217391304348,18,78,0.0759493670886076,0.3076923076923077,20,949,0.9240506329113924,0.6923076923076923,45,1925,0.9806418746816098,0.8434782608695652,97,86,0.09129511677282377,0.5483870967741935,17,35,0.01708984375,0.1342281879194631,20,2013,0.98291015625,0.8657718120805369,129,856,0.9087048832271762,0.45161290322580644,14,174,0.1403225806451613,0.7049180327868853,43,31,0.017714285714285714,0.21008403361344538,25,1719,0.9822857142857143,0.7899159663865546,94,1066,0.8596774193548387,0.29508196721311475,18,0,0.037052467462526245,0.514793573168053,0.010430392544071732,0.08753908296052273,0.07896179451103358,0.8545503642711905,1.7597730421347058,10.780892122911519,36.075154505767934,4.873682777512241,6.124262867027605,5.8296961215381895,9463205152478.121,0.29064291218452243,2.2739594906656793,2.6711199248646804,3.9815254396161888,0.11495680835816642,414000729566020.7,0.11273727075016755,0.010565359920888317,1.2669533233263706,8.778910900130453,376.30662478124873,2275.297121921051,45.5731667704887,60.01084973356324,50.444588769252704,0.8995864233931427,-1.4114165141177817,0.11643855192704955,0.5612259752753168,-0.8599042922547333,0.6453487589873297,0.6992899224745538,0.646873729711269,10000
0.9645484949832775,0.7777777777777778,0.9618729096989966,0.7611111111111111,0.9364548494983278,0.6055555555555555,35,0.01782985226693836,0.14782608695652175,17,71,0.0691333982473223,0.35384615384615387,23,956,0.9308666017526777,0.6461538461538462,42,1928,0.9821701477330617,0.8521739130434782,98,96,0.10191082802547771,0.6774193548387096,21,18,0.0087890625,0.1476510067114094,22,2030,0.9912109375,0.8523489932885906,127,846,0.8980891719745223,0.3225806451612903,10,173,0.13951612903225807,0.7049180327868853,43,17,0.009714285714285713,0.23529411764705882,28,1733,0.9902857142857143,0.7647058823529411,91,1067,0.8604838709677419,0.29508196721311475,18,0,0.03174790966775659,0.5125977298322866,0.008492598757401664,0.058852285760050846,0.07394445603239141,0.6028877911649666,1.654825812568979,12.166913987840143,27.462320810419094,4.02117113613075,5.208240011080889,4.935393628832321,15427297830167.592,0.23329108268398457,3.4062769987273356,4.175862252326934,2.8367052860869064,0.10185643029694029,391013604854850.5,0.10057167189253334,0.01175520275652995,0.6731340736989598,8.091695705990423,475.8141473605807,1327.1622830774538,35.213901095829655,47.79467142617687,38.95994442133145,0.8882781124958858,-0.2811889685654232,0.18560394829336613,0.445200071671051,-0.08486702814894942,0.7259647593192811,0.7605043185744024,0.7272694614065968,15000
0.965551839464883,0.7777777777777778,0.9612040133779264,0.7666666666666667,0.9384615384615385,0.5888888888888889,35,0.01782985226693836,0.14782608695652175,17,68,0.06621226874391431,0.35384615384615387,23,959,0.9337877312560857,0.6461538461538462,42,1928,0.9821701477330617,0.8521739130434782,98,97,0.1029723991507431,0.7096774193548387,22,19,0.00927734375,0.1342281879194631,20,2029,0.99072265625,0.8657718120805369,129,845,0.8970276008492569,0.2903225806451613,9,160,0.12903225806451613,0.7868852459016393,48,24,0.013714285714285714,0.2184873949579832,26,1726,0.9862857142857143,0.7815126050420168,93,1080,0.8709677419354839,0.21311475409836064,13,0,0.030948433682085975,0.5093394744918792,0.007070050510482165,0.03960264203453494,0.06547001168379264,0.5422191843330689,1.3206617395297162,9.855159599858572,25.194126221927323,3.9953439541668954,4.562531229260942,4.099782686152929,10731598836667.92,0.1998288349600302,1.0564622734850695,3.4193058267378293,2.219222157524515,0.10493793153414765,367471497778040.56,0.08603765756038648,0.007731886181356788,0.4995115708365002,4.527828459239172,328.3257057590155,1187.0833185246074,34.78095240172477,36.526744493324756,27.127198081308187,0.926515863993217,0.04927006486271268,0.544292598981517,0.6171717906369587,0.02963822257912596,0.729333974200318,0.8169670948319088,0.8101020046837049,20000
0.9695652173913043,0.7611111111111111,0.968561872909699,0.7944444444444444,0.9434782608695652,0.6222222222222222,36,0.018339276617422313,0.17391304347826086,20,55,0.053554040895813046,0.35384615384615387,23,972,0.9464459591041869,0.6461538461538462,42,1927,0.9816607233825777,0.8260869565217391,95,77,0.08174097664543524,0.6129032258064516,19,17,0.00830078125,0.12080536912751678,18,2031,0.99169921875,0.8791946308724832,131,865,0.9182590233545648,0.3870967741935484,12,152,0.12258064516129032,0.7377049180327869,45,17,0.009714285714285713,0.19327731092436976,23,1733,0.9902857142857143,0.8067226890756303,96,1088,0.8774193548387097,0.26229508196721313,16,0,0.028792116778424463,0.5089346868481062,0.005867560167260818,0.029860600283489667,0.05870489738892585,0.375141539137138,1.3276769543310205,9.574570501140332,22.394563228924497,3.497738391285211,3.9371545936691925,3.370918465627751,7271492862861.9375,0.13744472980575415,1.2964493650414746,3.8905217677170563,2.2583159871924554,0.09384636051159004,399276105658402.7,0.07634262266150746,0.006676827026248141,0.2641658000929723,4.666682366164748,321.8320375870901,820.4465910259157,25.78010842710686,31.23088087472142,20.25527921907421,0.9365431857399011,0.4972081756438681,0.5303175216092288,0.6247434163575492,0.3293393985720462,0.7993787113114281,0.8435042887957483,0.8582073641831677,25000
0.9712374581939799,0.7777777777777778,0.9692307692307692,0.7611111111111111,0.9451505016722408,0.5666666666666667,31,0.015792154865002548,0.1391304347826087,16,55,0.053554040895813046,0.36923076923076925,24,972,0.9464459591041869,0.6307692307692307,41,1932,0.9842078451349975,0.8608695652173913,99,76,0.08067940552016985,0.6451612903225806,20,16,0.0078125,0.15436241610738255,23,2032,0.9921875,0.8456375838926175,126,866,0.9193205944798302,0.3548387096774194,11,142,0.11451612903225807,0.7540983606557377,46,22,0.012571428571428572,0.2689075630252101,32,1728,0.9874285714285714,0.7310924369747899,87,1098,0.885483870967742,0.2459016393442623,15,0,0.02771023489802963,0.5070260610671622,0.005221396485052362,0.02399928101020649,0.05594102914719344,0.370251687878524,1.3015759304994157,10.649080459467319,17.846614917099988,3.6881889502296987,3.9656799482963456,3.4332823621723016,6200685906353.587,0.13460610820306362,1.1883459048931277,5.084713792853888,1.3497515656104968,0.0929492835775495,412087521260893.2,0.08620265548624029,0.005895176017842589,0.24768377851681053,4.53344405549413,356.2802668867766,559.9415053346108,27.56377805205379,30.22883698613798,21.56078740057612,0.9439720262148178,0.5285787228321828,0.5437274122043338,0.5845767352015936,0.5422850057032877,0.7854981607403042,0.8485254590800828,0.8490684407383959,30000
0.9719063545150501,0.8111111111111111,0.9625418060200669,0.7666666666666667,0.9404682274247491,0.6055555555555555,27,0.013754457463066735,0.10434782608695652,12,57,0.055501460564751706,0.3384615384615385,22,970,0.9444985394352483,0.6615384615384615,43,1936,0.9862455425369333,0.8956521739130435,103,100,0.10615711252653928,0.6451612903225806,20,12,0.005859375,0.1476510067114094,22,2036,0.994140625,0.8523489932885906,127,842,0.8938428874734607,0.3548387096774194,11,167,0.1346774193548387,0.7377049180327869,45,11,0.006285714285714286,0.2184873949579832,26,1739,0.9937142857142857,0.7815126050420168,93,1073,0.8653225806451613,0.26229508196721313,16,0,0.027912285836469947,0.5064499696806937,0.004681218827731874,0.01773674014975932,0.08533526700163241,0.3346534904791495,1.31381108673869,7.528627099192927,17.99824532506391,3.9324528383066952,4.18136743035115,3.1027357496879464,6123198260322.948,0.12815877652423202,0.9781193792551496,1.327813112887069,1.5442659848281486,0.09660007745394225,376587184761068.7,0.07199266732505274,0.015942394867347904,0.21742747757343103,4.218979113529106,170.0007231080695,644.9204881148556,30.356550688729598,33.244085313629895,17.62171180510696,0.8484828817668322,0.586166119627059,0.5753770214385117,0.8017789308716123,0.47282033082558517,0.7637647515512661,0.8334162652868903,0.876643074754666,35000
0.9715719063545151,0.7666666666666667,0.9715719063545151,0.7666666666666667,0.9474916387959866,0.6222222222222222,29,0.014773306164034642,0.1391304347826087,16,56,0.054527750730282376,0.4,26,971,0.9454722492697176,0.6,39,1934,0.9852266938359654,0.8608695652173913,99,74,0.07855626326963906,0.7419354838709677,23,11,0.00537109375,0.12751677852348994,19,2037,0.99462890625,0.87248322147651,130,868,0.921443736730361,0.25806451612903225,8,144,0.11612903225806452,0.8032786885245902,49,13,0.0074285714285714285,0.15966386554621848,19,1737,0.9925714285714285,0.8403361344537815,100,1096,0.8838709677419355,0.19672131147540983,12,0,0.028297276911683954,0.506203785885433,0.004542166142813695,0.01783861918650762,0.04844726688054655,0.31972037995852165,1.1845578810659725,7.542596824265483,14.860609590545767,3.150911023636939,3.577561024732993,2.3915461473062005,4771921538394.319,0.12549238376591046,1.131832256293119,2.171902387515061,0.8729569758180717,0.08578395764037257,374640052263552.44,0.06373951568387773,0.004861337173724856,0.1705343227148894,3.275784245886824,195.69133786745817,377.63548378141115,21.804206004131498,25.69931026287546,11.621047445980992,0.9537976693306496,0.6754187589650911,0.6703057241613751,0.7718236399112657,0.6913080711851265,0.8303192587514315,0.8712225936508013,0.9186494083593568,40000
0.974581939799331,0.8166666666666667,0.9695652173913043,0.7777777777777778,0.9481605351170569,0.65,27,0.013754457463066735,0.13043478260869565,15,49,0.04771178188899708,0.27692307692307694,18,978,0.952288218111003,0.7230769230769231,47,1936,0.9862455425369333,0.8695652173913043,100,69,0.0732484076433121,0.5806451612903226,18,22,0.0107421875,0.1476510067114094,22,2026,0.9892578125,0.8523489932885906,127,873,0.9267515923566879,0.41935483870967744,13,134,0.10806451612903226,0.6885245901639344,42,21,0.012,0.17647058823529413,21,1729,0.988,0.8235294117647058,98,1106,0.8919354838709678,0.3114754098360656,19,0,0.02436498775860371,0.5060024948570672,0.004098718008912805,0.015161833617603405,0.04298388608476333,0.23630849085018082,1.1962360948312247,6.853753254550234,13.77765540100647,3.1098827665087203,2.8149834284177966,2.594179033306283,4303638887966.9004,0.09468908957454861,1.1057358315613859,1.6119031778341986,0.9072135703462387,0.0844845048252724,393553176672227.25,0.06512240218533126,0.003539402313496594,0.10044281175032078,3.3419661726356,126.79972070030014,351.4465284289373,20.906598822899532,18.372893630947335,13.422005183571466,0.9663613877794996,0.8088252735758021,0.6636447841313837,0.8521513571067783,0.712715802949235,0.8373044547192471,0.907934743589559,0.9060421990562533,45000
0.9729096989966555,0.7888888888888889,0.9702341137123746,0.7833333333333333,0.9481605351170569,0.6222222222222222,29,0.014773306164034642,0.16521739130434782,19,52,0.05063291139240506,0.2923076923076923,19,975,0.9493670886075949,0.7076923076923077,46,1934,0.9852266938359654,0.8347826086956521,96,80,0.08492569002123142,0.7096774193548387,22,9,0.00439453125,0.11409395973154363,17,2039,0.99560546875,0.8859060402684564,132,862,0.9150743099787686,0.2903225806451613,9,132,0.1064516129032258,0.7049180327868853,43,23,0.013142857142857144,0.21008403361344538,25,1727,0.9868571428571429,0.7899159663865546,94,1108,0.8935483870967742,0.29508196721311475,18,0,0.02746870302940873,0.5052531710322362,0.0038243809859576524,0.013626573674385072,0.042474161566953376,0.2452290684408308,1.089374315808359,5.959314635946278,12.620956988653004,2.504770815137406,2.803822761643101,2.259473549533898,3932044107203.8906,0.09897098124974335,1.7790991770050115,1.7184370331805714,0.765603905794181,0.07627945256742265,376453351160425.4,0.05679180744201592,0.0036801041323739525,0.11031153935534359,2.636879728610819,103.24782331620308,316.33207010113335,16.13824869309571,18.13990543839863,10.622287021671516,0.96502415242033,0.7900419354038783,0.7346088486476194,0.8796129007645076,0.7414195406434756,0.8744118451192695,0.9091022307648764,0.9256410114659197,50000
